Tanggal;Kurs;
5/9/2025 12:00:00 AM;16532;
5/8/2025 12:00:00 AM;16497;
5/7/2025 12:00:00 AM;16533;
5/6/2025 12:00:00 AM;16472;
5/5/2025 12:00:00 AM;16421;
5/2/2025 12:00:00 AM;16493;
4/30/2025 12:00:00 AM;16679;
4/29/2025 12:00:00 AM;16787;
4/28/2025 12:00:00 AM;16862;
4/25/2025 12:00:00 AM;16829;
4/24/2025 12:00:00 AM;16884;
4/23/2025 12:00:00 AM;16880;
4/22/2025 12:00:00 AM;16862;
4/21/2025 12:00:00 AM;16808;
4/17/2025 12:00:00 AM;16833;
4/16/2025 12:00:00 AM;16845;
4/15/2025 12:00:00 AM;16815;
4/14/2025 12:00:00 AM;16773;
4/11/2025 12:00:00 AM;16805;
4/10/2025 12:00:00 AM;16779;
4/9/2025 12:00:00 AM;16943;
4/8/2025 12:00:00 AM;16849;
3/27/2025 12:00:00 AM;16566;
3/26/2025 12:00:00 AM;16588;
3/25/2025 12:00:00 AM;16622;
3/24/2025 12:00:00 AM;16561;
3/21/2025 12:00:00 AM;16501;
3/20/2025 12:00:00 AM;16481;
3/19/2025 12:00:00 AM;16528;
3/18/2025 12:00:00 AM;16432;
3/17/2025 12:00:00 AM;16379;
3/14/2025 12:00:00 AM;16392;
3/13/2025 12:00:00 AM;16428;
3/12/2025 12:00:00 AM;16453;
3/11/2025 12:00:00 AM;16430;
3/10/2025 12:00:00 AM;16326;
3/7/2025 12:00:00 AM;16336;
3/6/2025 12:00:00 AM;16315;
3/5/2025 12:00:00 AM;16371;
3/4/2025 12:00:00 AM;16443;
3/3/2025 12:00:00 AM;16506;
2/28/2025 12:00:00 AM;16575;
2/27/2025 12:00:00 AM;16431;
2/26/2025 12:00:00 AM;16387;
2/25/2025 12:00:00 AM;16316;
2/24/2025 12:00:00 AM;16303;
2/21/2025 12:00:00 AM;16300;
2/20/2025 12:00:00 AM;16344;
2/19/2025 12:00:00 AM;16357;
2/18/2025 12:00:00 AM;16275;
2/17/2025 12:00:00 AM;16208;
2/14/2025 12:00:00 AM;16285;
2/13/2025 12:00:00 AM;16365;
2/12/2025 12:00:00 AM;16364;
2/11/2025 12:00:00 AM;16380;
2/10/2025 12:00:00 AM;16350;
2/7/2025 12:00:00 AM;16325;
2/6/2025 12:00:00 AM;16330;
2/5/2025 12:00:00 AM;16308;
2/4/2025 12:00:00 AM;16365;
2/3/2025 12:00:00 AM;16453;
1/31/2025 12:00:00 AM;16312;
1/30/2025 12:00:00 AM;16259;
1/24/2025 12:00:00 AM;16200;
1/23/2025 12:00:00 AM;16276;
1/22/2025 12:00:00 AM;16327;
1/21/2025 12:00:00 AM;16331;
1/20/2025 12:00:00 AM;16372;
1/17/2025 12:00:00 AM;16373;
1/16/2025 12:00:00 AM;16378;
1/15/2025 12:00:00 AM;16311;
1/14/2025 12:00:00 AM;16265;
1/13/2025 12:00:00 AM;16281;
1/10/2025 12:00:00 AM;16194;
1/9/2025 12:00:00 AM;16238;
1/8/2025 12:00:00 AM;16201;
1/7/2025 12:00:00 AM;16169;
1/6/2025 12:00:00 AM;16193;
1/3/2025 12:00:00 AM;16217;
1/2/2025 12:00:00 AM;16236;
12/31/2024 12:00:00 AM;16157;
12/30/2024 12:00:00 AM;16162;
12/27/2024 12:00:00 AM;16251;
12/24/2024 12:00:00 AM;16208;
12/23/2024 12:00:00 AM;16159;
12/20/2024 12:00:00 AM;16270;
12/19/2024 12:00:00 AM;16277;
12/18/2024 12:00:00 AM;16100;
12/17/2024 12:00:00 AM;16050;
12/16/2024 12:00:00 AM;16019;
12/13/2024 12:00:00 AM;15987;
12/12/2024 12:00:00 AM;15939;
12/11/2024 12:00:00 AM;15905;
12/10/2024 12:00:00 AM;15874;
12/9/2024 12:00:00 AM;15861;
12/6/2024 12:00:00 AM;15848;
12/5/2024 12:00:00 AM;15892;
12/4/2024 12:00:00 AM;15957;
12/3/2024 12:00:00 AM;15950;
12/2/2024 12:00:00 AM;15905;
11/29/2024 12:00:00 AM;15856;
11/28/2024 12:00:00 AM;15864;
11/26/2024 12:00:00 AM;15930;
11/25/2024 12:00:00 AM;15864;
11/22/2024 12:00:00 AM;15911;
11/21/2024 12:00:00 AM;15942;
11/20/2024 12:00:00 AM;15858;
11/19/2024 12:00:00 AM;15816;
11/18/2024 12:00:00 AM;15848;
11/15/2024 12:00:00 AM;15888;
11/14/2024 12:00:00 AM;15873;
11/13/2024 12:00:00 AM;15782;
11/12/2024 12:00:00 AM;15771;
11/11/2024 12:00:00 AM;15677;
11/8/2024 12:00:00 AM;15671;
11/7/2024 12:00:00 AM;15767;
11/6/2024 12:00:00 AM;15840;
11/5/2024 12:00:00 AM;15766;
11/4/2024 12:00:00 AM;15751;
11/1/2024 12:00:00 AM;15723;
10/31/2024 12:00:00 AM;15705;
10/30/2024 12:00:00 AM;15732;
10/29/2024 12:00:00 AM;15760;
10/28/2024 12:00:00 AM;15729;
10/25/2024 12:00:00 AM;15629;
10/24/2024 12:00:00 AM;15593;
10/23/2024 12:00:00 AM;15620;
10/22/2024 12:00:00 AM;15560;
10/21/2024 12:00:00 AM;15465;
10/18/2024 12:00:00 AM;15466;
10/17/2024 12:00:00 AM;15516;
10/16/2024 12:00:00 AM;15536;
10/15/2024 12:00:00 AM;15555;
10/14/2024 12:00:00 AM;15581;
10/11/2024 12:00:00 AM;15609;
10/10/2024 12:00:00 AM;15658;
10/9/2024 12:00:00 AM;15607;
10/8/2024 12:00:00 AM;15671;
10/7/2024 12:00:00 AM;15680;
10/4/2024 12:00:00 AM;15495;
10/3/2024 12:00:00 AM;15394;
10/2/2024 12:00:00 AM;15247;
10/1/2024 12:00:00 AM;15204;
9/30/2024 12:00:00 AM;15144;
9/27/2024 12:00:00 AM;15138;
9/26/2024 12:00:00 AM;15171;
9/25/2024 12:00:00 AM;15092;
9/24/2024 12:00:00 AM;15186;
9/23/2024 12:00:00 AM;15191;
9/20/2024 12:00:00 AM;15100;
9/19/2024 12:00:00 AM;15287;
9/18/2024 12:00:00 AM;15350;
9/17/2024 12:00:00 AM;15338;
9/13/2024 12:00:00 AM;15405;
9/12/2024 12:00:00 AM;15421;
9/11/2024 12:00:00 AM;15415;
9/10/2024 12:00:00 AM;15447;
9/9/2024 12:00:00 AM;15446;
9/6/2024 12:00:00 AM;15372;
9/5/2024 12:00:00 AM;15410;
9/4/2024 12:00:00 AM;15490;
9/3/2024 12:00:00 AM;15557;
9/2/2024 12:00:00 AM;15536;
8/30/2024 12:00:00 AM;15473;
8/29/2024 12:00:00 AM;15409;
8/28/2024 12:00:00 AM;15476;
8/27/2024 12:00:00 AM;15509;
8/26/2024 12:00:00 AM;15380;
8/23/2024 12:00:00 AM;15554;
8/22/2024 12:00:00 AM;15579;
8/21/2024 12:00:00 AM;15456;
8/20/2024 12:00:00 AM;15480;
8/19/2024 12:00:00 AM;15591;
8/16/2024 12:00:00 AM;15716;
8/15/2024 12:00:00 AM;15687;
8/14/2024 12:00:00 AM;15691;
8/13/2024 12:00:00 AM;15885;
8/12/2024 12:00:00 AM;15963;
8/9/2024 12:00:00 AM;15914;
8/8/2024 12:00:00 AM;15952;
8/7/2024 12:00:00 AM;16100;
8/6/2024 12:00:00 AM;16183;
8/5/2024 12:00:00 AM;16154;
8/2/2024 12:00:00 AM;16234;
8/1/2024 12:00:00 AM;16243;
7/31/2024 12:00:00 AM;16294;
7/30/2024 12:00:00 AM;16320;
7/29/2024 12:00:00 AM;16286;
7/26/2024 12:00:00 AM;16294;
7/25/2024 12:00:00 AM;16268;
7/24/2024 12:00:00 AM;16224;
7/23/2024 12:00:00 AM;16204;
7/22/2024 12:00:00 AM;16228;
7/19/2024 12:00:00 AM;16199;
7/18/2024 12:00:00 AM;16160;
7/17/2024 12:00:00 AM;16129;
7/16/2024 12:00:00 AM;16203;
